Customer ID,Customer Name,Last Name,Date of Birth,Sales,Year,Outlet Type,City Type,Category of Goods,Region,Country,Segment,Sales Date,Order ID,Order Date,Ship Date,Ship Mode,State,Postal Code,Product ID,Sub-Category,Product Name,Quantity,Discount,Profit
CUST000001,Curtis,Krause,1973-11-29,3344.69,2023,Large,Tier 1,Fast Food,East,India,Consumer,2023-03-11,ORD000001,2020-04-13,2020-04-18,Same Day,West Bengal,700001,PROD000001,Burgers,Burgers - 718,3,0.09,448.24
CUST000002,Jeremy,Foster,1987-08-30,37094.41,2022,Medium,Tier 2,Fast Food,East,India,Corporate,2023-09-09,ORD000002,2021-01-08,2021-01-11,Standard Class,Punjab,160001,PROD000002,Pizzas,Pizzas - 519,5,0.39,3134.34
CUST000003,Ariel,Mccann,1980-12-15,35501.08,2023,Large,Village,Electric Appliances,South,India,Consumer,2022-08-15,ORD000003,2020-08-11,2020-08-16,Second Class,Gujarat,380001,PROD000003,Fans,Fans - 395,6,0.07,8324.21
CUST000004,Colleen,Maynard,1989-05-23,8969.33,2021,Medium,Village,Dairy Products,East,India,Corporate,2021-01-23,ORD000004,2021-10-10,2021-10-16,First Class,West Bengal,700001,PROD000004,Milk,Milk - 798,4,0.18,1962.66
CUST000005,Gina,Holden,1957-12-31,35530.44,2021,Small,Village,Sessional Fruits & Vegetables,West,India,Consumer,2020-12-24,ORD000005,2019-01-22,2019-01-25,Standard Class,Delhi,110001,PROD000005,Tomatoes,Tomatoes - 442,4,0.27,2843.93
CUST000006,Danny,Stevenson,1967-02-25,420.76,2019,Large,Tier 2,Dairy Products,South,India,Consumer,2019-03-13,ORD000006,2019-12-18,2019-12-22,Second Class,Tamil Nadu,600001,PROD000006,Milk,Milk - 915,4,0.5,57.36
CUST000007,Stephanie,Mccoy,2003-10-19,31588.07,2022,Medium,Tier 2,Dairy Products,North,India,Consumer,2022-11-23,ORD000007,2020-12-21,2020-12-23,Standard Class,Gujarat,380001,PROD000007,Yogurt,Yogurt - 733,6,0.38,2834.07
CUST000008,Henry,Cruz,2013-05-22,4419.87,2021,Small,Tier 2,Electric Appliances,West,India,Consumer,2019-03-11,ORD000008,2021-11-12,2021-11-14,Standard Class,Rajasthan,302001,PROD000008,Washing Machines,Washing Machines - 559,10,0.21,691.42
CUST000009,Kristen,Lutz,2005-07-08,41494.09,2023,Large,Tier 2,Dairy Products,South,India,Corporate,2020-06-14,ORD000009,2021-03-09,2021-03-10,First Class,West Bengal,700001,PROD000009,Milk,Milk - 232,2,0.09,8083.35
CUST000010,Gregory,Cuevas,1981-04-10,39717.64,2022,Medium,Tier 1,Furniture,South,India,Corporate,2022-09-30,ORD000010,2022-03-15,2022-03-20,Same Day,Gujarat,380001,PROD000010,Beds,Beds - 553,3,0.27,4849.97
CUST000011,Sara,Yang,1956-04-29,42842.38,2019,Medium,Village,Fast Food,West,India,Corporate,2021-10-25,ORD000011,2021-03-21,2021-03-28,Second Class,Uttar Pradesh,226001,PROD000011,Pizzas,Pizzas - 134,2,0.15,6385.44
CUST000012,Kenneth,Johnson,1954-04-12,1036.8,2022,Small,Village,Sessional Fruits & Vegetables,North,India,Consumer,2023-06-08,ORD000012,2021-07-19,2021-07-21,Standard Class,Madhya Pradesh,462001,PROD000012,Mangoes,Mangoes - 756,10,0.32,157.6
CUST000013,Charles,Krueger,2004-07-02,39274.36,2023,Small,Village,Furniture,West,India,Corporate,2021-10-01,ORD000013,2022-07-30,2022-08-03,Standard Class,Punjab,160001,PROD000013,Chairs,Chairs - 116,7,0.3,6536.93
CUST000014,Brenda,Campbell,1952-03-26,31690.81,2023,Small,Tier 2,Dairy Products,West,India,Corporate,2023-01-10,ORD000014,2019-02-09,2019-02-16,Standard Class,Karnataka,560001,PROD000014,Milk,Milk - 308,5,0.1,3772.86
CUST000015,Michael,Smith,1964-07-24,40712.36,2022,Large,Village,Dairy Products,West,India,Consumer,2019-05-06,ORD000015,2023-05-09,2023-05-12,Same Day,Rajasthan,302001,PROD000015,Milk,Milk - 268,9,0.26,6108.43
CUST000016,Cheryl,Stewart,1950-10-21,34269.7,2019,Small,Village,Fast Food,North,India,Corporate,2021-05-26,ORD000016,2022-11-11,2022-11-17,Second Class,West Bengal,700001,PROD000016,Fries,Fries - 141,1,0.35,4144.5
CUST000017,Timothy,Harris,2015-09-20,41271.24,2020,Large,Tier 1,Electric Appliances,South,India,Consumer,2021-09-18,ORD000017,2023-02-28,2023-03-05,Standard Class,Maharashtra,400001,PROD000017,Washing Machines,Washing Machines - 193,8,0.4,5106.34
CUST000018,Charlene,Blair,1951-09-12,3896.21,2020,Small,Tier 1,Household Items,North,India,Corporate,2023-09-06,ORD000018,2022-03-03,2022-03-06,Second Class,Uttar Pradesh,226001,PROD000018,Mops,Mops - 703,6,0.23,868.88
CUST000019,Dustin,Fuentes,1964-08-12,15902.47,2023,Small,Tier 1,Household Items,North,India,Consumer,2019-08-24,ORD000019,2020-01-01,2020-01-05,Standard Class,Uttar Pradesh,226001,PROD000019,Buckets,Buckets - 998,2,0.24,2192.64
CUST000020,Mary,Johnson,1986-04-25,14846.9,2022,Small,Tier 1,Household Items,North,India,Consumer,2023-02-27,ORD000020,2019-06-17,2019-06-23,Second Class,West Bengal,700001,PROD000020,Utensils,Utensils - 520,8,0.27,2578.04
CUST000021,Christie,Pearson,1965-10-11,756.96,2022,Large,Tier 2,Household Items,East,India,Corporate,2021-04-12,ORD000021,2020-08-26,2020-08-30,Second Class,Punjab,160001,PROD000021,Detergents,Detergents - 355,6,0.5,61.95
CUST000022,Patricia,Hicks,1960-06-04,9172.02,2023,Medium,Tier 1,Dairy Products,North,India,Corporate,2020-12-11,ORD000022,2019-11-04,2019-11-11,First Class,Rajasthan,302001,PROD000022,Cheese,Cheese - 717,1,0.07,2279.66
CUST000023,Steven,Perkins,1962-11-12,34292.47,2023,Medium,Tier 2,Household Items,South,India,Corporate,2021-06-03,ORD000023,2023-12-03,2023-12-06,Standard Class,Punjab,160001,PROD000023,Detergents,Detergents - 234,3,0.03,9599.41
CUST000024,Robert,Nicholson,2005-08-13,35973.08,2021,Medium,Village,Fast Food,East,India,Corporate,2021-09-26,ORD000024,2021-04-15,2021-04-22,Second Class,Rajasthan,302001,PROD000024,Pizzas,Pizzas - 503,5,0.47,5195.63
CUST000025,Julie,Phillips,1976-06-15,44383.63,2023,Large,Tier 2,Sessional Fruits & Vegetables,North,India,Consumer,2022-10-01,ORD000025,2023-02-07,2023-02-12,First Class,Karnataka,560001,PROD000025,Carrots,Carrots - 967,6,0.43,3482.54
CUST000026,Michael,David,1956-12-11,4404.37,2019,Large,Tier 2,Electric Appliances,East,India,Consumer,2021-12-19,ORD000026,2019-04-27,2019-05-01,First Class,Punjab,160001,PROD000026,Washing Machines,Washing Machines - 786,3,0.47,397.14
CUST000027,Shelly,Thomas,1972-06-09,34934.14,2020,Medium,Village,Electric Appliances,East,India,Corporate,2019-12-31,ORD000027,2021-12-20,2021-12-24,Standard Class,Uttar Pradesh,226001,PROD000027,Fans,Fans - 604,9,0.46,4657.61
CUST000028,Dale,Miller,1987-09-29,2361.71,2020,Medium,Tier 1,Household Items,North,India,Consumer,2021-11-05,ORD000028,2019-04-06,2019-04-13,Same Day,Madhya Pradesh,462001,PROD000028,Mops,Mops - 802,5,0.38,373.96
CUST000029,Megan,Davis,2012-07-06,24468.77,2021,Small,Tier 2,Household Items,South,India,Consumer,2019-01-26,ORD000029,2022-02-20,2022-02-25,Same Day,Punjab,160001,PROD000029,Detergents,Detergents - 137,9,0.3,3914.79
